"","Dividend"
"MMM",4.355
"ABT",1.02
"ABBV",2.22
"ACN",2.2
"ATVI",0.26
"AYI",0.52
"ADBE",0
"AAP",0.24
"AES",0.43
"AET",1
"AFL",1.64
"AMG",0
"A",0.46
"APD",2.53
"AKAM",0
"ALK",1.025
"ALB",1.205
"AA",0.12
"AGN",0
"LNT",1.157
"ALXN",0
"ALLE",0.46
"ADS",0
"ALL",1.29
"GOOGL",0
"GOOG",0
"MO",2.305
"AMZN",0
"AEE",1.7
"AAL",0.4
"AEP",2.24
"AXP",1.16
"AIG",1.24
"AMT",2.08
"AWK",1.43
"AMP",2.84
"ABC",1.36
"AME",0.36
"AMGN",3.79
"APH",0.56
"APC",0.42
"ADI",1.66
"ANTM",2.575
"AON",1.26
"APA",1
"AIV",1.29
"AAPL",2.18
"AMAT",0.4
"ADM",1.18
"AJG",1.51
"AIZ",2
"T",1.91
"ADSK",0
"ADP",2.12
"AN",0
"AZO",0
"AVGO",1.94
"AVB",5.3
"AVY",1.56
"BHI",0.68
"BLL",0.52
"BAC",0.225
"BK",0.7
"BCR",0.98
"BAX",0.49
"BBT",1.12
"BDX",2.64
"BBBY",0.25
"BRK-B",0
"BBY",1.52
"BIIB",0
"BLK",9.05
"HRB",0.84
"BA",4.18
"BWA",0.52
"BXP",3.85
"BSX",0
"BMY",1.14
"BF-B",0.68
"CHRW",1.72
"CA",1.01
"COG",0.08
"CPB",1.248
"COF",1.6
"CAH",1.672
"HSIC",0
"KMX",0
"CCL",1.3
"CAT",3.08
"CBG",0
"CBS",0.63
"CELG",0
"CNC",0
"CNP",1.022
"CTL",2.16
"CERN",0
"CF",1.2
"SCHW",0.26
"CHTR",0
"CHK",0
"CVX",4.28
"CMG",0
"CB",0.67
"CHD",0.7
"CI",0.04
"XEC",0.48
"CINF",2.36
"CTAS",1.05
"CSCO",0.99
"C",0.31
"CTXS",0
"CLX",3.11
"CME",5.2
"CMS",1.22
"COH",1.352
"KO",1.38
"CTSH",0
"CL",1.54
"CMCSA",1.325
"CMA",0.87
"CAG",1
"CXO",0
"COP",1.49
"ED",2.66
"STZ",1.42
"GLW",0.525
"COST",1.7
"COTY",0.275
"CCI",3.54
"CSRA",0.4
"CSX",0.72
"CMI",3.95
"CVS",1.625
"DHI",0.32
