,,,,,,,,,,,,,,,,,,,
,Currencies,,Languages,,Transactions,,Tickers,,,,,,,,,,,,
,USD,,EN,,Buy,,S&P500,,,Vaguard ETFs,,,EUROSTOXX 30,,,,All Securities,All Tickers,All Asset Classes
,EUR,,ESP,,Sell,,Ticker,Security,Asset Class,Ticker,Security,Asset Class,Ticker,Security,Asset Class,,,,
,,,,,,,MMM,3M Company (MMM),US Stock,VIG,Vanguard Dividend Appreciation ETF (VIG),US Large-cap Stock ETFs,ABI.BR,Anheuser-Busch InBev (ABI.BR),Euro Stock,,3M Company (MMM),MMM,US Stock
,,,,,,,ABT,Abbott Laboratories (ABT),US Stock,VUG,Vanguard Growth ETF (VUG),US Large-cap Stock ETFs,CA.PA,Carrefour SA (CA.PA),Euro Stock,,Abbott Laboratories (ABT),ABT,US Stock
,,,,,,,ABBV,AbbVie (ABBV),US Stock,VYM,Vanguard High Dividend Yield ETF (VYM),US Large-cap Stock ETFs,AI.PA,Air Liquide SA (AI.PA),Euro Stock,,AbbVie (ABBV),ABBV,US Stock
,,,,,,,ACN,Accenture plc (ACN),US Stock,VV,Vanguard Large-Cap ETF (VV),US Large-cap Stock ETFs,ORA.PA,Orange (ORA.PA),Euro Stock,,Accenture plc (ACN),ACN,US Stock
,,,,,,,ATVI,Activision Blizzard (ATVI),US Stock,MGC,Vanguard Mega Cap ETF (MGC),US Large-cap Stock ETFs,ENEL.MI,Enel SpA (ENEL.MI),Euro Stock,,Activision Blizzard (ATVI),ATVI,US Stock
,,,,,,,AYI,Acuity Brands Inc (AYI),US Stock,MGK,Vanguard Mega Cap Growth ETF (MGK),US Large-cap Stock ETFs,PHIA.AS,PHILIPS KON (PHIA.AS),Euro Stock,,Acuity Brands Inc (AYI),AYI,US Stock
,,,,,,,ADBE,Adobe Systems Inc (ADBE),US Stock,MGV,Vanguard Mega Cap Value ETF (MGV),US Large-cap Stock ETFs,DTE.DE,Deutsche Telekom AG (DTE.DE),Euro Stock,,Adobe Systems Inc (ADBE),ADBE,US Stock
,,,,,,,AAP,Advance Auto Parts (AAP),US Stock,VOO,Vanguard S&P 500 ETF (VOO),US Large-cap Stock ETFs,EI.PA,Essilor International SA (EI.PA),Euro Stock,,Advance Auto Parts (AAP),AAP,US Stock
,,,,,,,AES,AES Corp (AES),US Stock,VTI,Vanguard Total Stock Market ETF (VTI),US Large-cap Stock ETFs,IBE.MC,IBERDROLA (IBE.MC),Euro Stock,,AES Corp (AES),AES,US Stock
,,,,,,,AET,Aetna Inc (AET),US Stock,VTV,Vanguard Value ETF (VTV),US Large-cap Stock ETFs,OR.PA,L'Oreal SA (OR.PA),Euro Stock,,Aetna Inc (AET),AET,US Stock
,,,,,,,AFL,AFLAC Inc (AFL),US Stock,VXF,Vanguard Extended Market ETF (VXF),US Mid-cap Stock ETFs,BN.PA,Danone (BN.PA),Euro Stock,,AFLAC Inc (AFL),AFL,US Stock
,,,,,,,AMG,Affiliated Managers Group Inc (AMG),US Stock,VO,Vanguard Mid-Cap ETF (VO),US Mid-cap Stock ETFs,SU.PA,Schneider Electric SE (SU.PA),Euro Stock,,Affiliated Managers Group Inc (AMG),AMG,US Stock
,,,,,,,A,Agilent Technologies Inc (A),US Stock,VOT,Vanguard Mid-Cap Growth ETF (VOT),US Mid-cap Stock ETFs,ITX.MC,INDITEX (ITX.MC),Euro Stock,,Agilent Technologies Inc (A),A,US Stock
,,,,,,,APD,Air Products & Chemicals Inc (APD),US Stock,VOE,Vanguard Mid-Cap Value ETF (VOE),US Mid-cap Stock ETFs,SAF.PA,Safran SA (SAF.PA),Euro Stock,,Air Products & Chemicals Inc (APD),APD,US Stock
,,,,,,,AKAM,Akamai Technologies Inc (AKAM),US Stock,VB,Vanguard Small-Cap ETF (VB),US Small-cap Stock ETFs,SAN.PA,Sanofi (SAN.PA),Euro Stock,,Akamai Technologies Inc (AKAM),AKAM,US Stock
,,,,,,,ALK,Alaska Air Group Inc (ALK),US Stock,VBK,Vanguard Small-Cap Growth ETF (VBK),US Small-cap Stock ETFs,BBVA.MC,BBVA (BBVA.MC),Euro Stock,,Alaska Air Group Inc (ALK),ALK,US Stock
,,,,,,,ALB,Albemarle Corp (ALB),US Stock,VBR,Vanguard Small-Cap Value ETF (VBR),US Small-cap Stock ETFs,ALV.DE,Allianz SE (ALV.DE),Euro Stock,,Albemarle Corp (ALB),ALB,US Stock
,,,,,,,AA,Alcoa Inc (AA),US Stock,,,,ENGI.PA,ENGIE SA (ENGI.PA),Euro Stock,,Alcoa Inc (AA),AA,US Stock
,,,,,,,AGN,Allergan plc (AGN),US Stock,,,,MC.PA,LVMH Moët Hennessy Louis Vuitton (MC.PA),Euro Stock,,Allergan plc (AGN),AGN,US Stock
,,,,,,,LNT,Alliant Energy Corp (LNT),US Stock,,,,ENI.MI,Eni SpA (ENI.MI),Euro Stock,,Alliant Energy Corp (LNT),LNT,US Stock
,,,,,,,ALXN,Alexion Pharmaceuticals (ALXN),US Stock,,,,BNP.PA,BNP Paribas SA (BNP.PA),Euro Stock,,Alexion Pharmaceuticals (ALXN),ALXN,US Stock
,,,,,,,ALLE,Allegion (ALLE),US Stock,,,,G.MI,Assicurazioni Generali (G.MI),Euro Stock,,Allegion (ALLE),ALLE,US Stock
,,,,,,,ADS,Alliance Data Systems (ADS),US Stock,,,,DPW.DE,Deutsche Post AG (DPW.DE),Euro Stock,,Alliance Data Systems (ADS),ADS,US Stock
,,,,,,,ALL,Allstate Corp (ALL),US Stock,,,,AIR.PA,Airbus Group SE (AIR.PA),Euro Stock,,Allstate Corp (ALL),ALL,US Stock
,,,,,,,GOOGL,Alphabet Inc Class A (GOOGL),US Stock,,,,ASML.AS,ASML HOLDING (ASML.AS),Euro Stock,,Alphabet Inc Class A (GOOGL),GOOGL,US Stock
,,,,,,,GOOG,Alphabet Inc Class C (GOOG),US Stock,,,,INGA.AS,ING GROEP (INGA.AS),Euro Stock,,Alphabet Inc Class C (GOOG),GOOG,US Stock
,,,,,,,MO,Altria Group Inc (MO),US Stock,,,,BAYN.DE,Bayer AG (BAYN.DE),Euro Stock,,Altria Group Inc (MO),MO,US Stock
,,,,,,,AMZN,Amazon.com Inc (AMZN),US Stock,,,,FRE.DE,Fresenius SE & Co (FRE.DE),Euro Stock,,Amazon.com Inc (AMZN),AMZN,US Stock
,,,,,,,AEE,Ameren Corp (AEE),US Stock,,,,BMW.DE,Bayerische Motoren Werke Aktiengesellschaft (BMW.DE),Euro Stock,,Ameren Corp (AEE),AEE,US Stock
,,,,,,,AAL,American Airlines Group (AAL),US Stock,,,,DBK.DE,Deutsche Bank AG (DBK.DE),Euro Stock,,American Airlines Group (AAL),AAL,US Stock
,,,,,,,AEP,American Electric Power (AEP),US Stock,,,,,,,,American Electric Power (AEP),AEP,US Stock
,,,,,,,AXP,American Express Co (AXP),US Stock,,,,,,,,American Express Co (AXP),AXP,US Stock
,,,,,,,AIG,"American International Group, Inc. (AIG)",US Stock,,,,,,,,"American International Group, Inc. (AIG)",AIG,US Stock
,,,,,,,AMT,American Tower Corp A (AMT),US Stock,,,,,,,,American Tower Corp A (AMT),AMT,US Stock
